wmdr10-json,wmdr10-cardinality,wmdr10-has_history,records-part1,records-part1-cardinality,description,wmdr10-codelist,records-part1-link-relation,records-part1-link-group
deployments[*].@gml:id,1,False,id,1,deployment identifier (gml:id),,,
deployments[*].geospatialLocation.geoLocation,0..1,True,geometry,1,deployment location (geoLocation string),,,
deployments[*].beginPosition,0..1,True,time.interval[0],0..1,deployment begin,,,
deployments[*].endPosition,0..1,True,time.interval[1],0..1,deployment end,,,
deployments[*].observingMethod,0..1,False,properties.wmdr:observingMethod.href,0..1,observing method,,,
deployments[*].manufacturer,0..1,False,properties.wmdr:manufacturer,0..1,manufacturer,,,
deployments[*].model,0..1,False,properties.wmdr:model,0..1,model,,,
deployments[*].serialNumber,0..1,False,properties.wmdr:serialNumber,0..1,serial number,,,
deployments[*].configuration,0..1,False,properties.wmdr:configuration,0..1,configuration,,,
deployments[*].sourceOfObservation,0..1,False,properties.wmdr:sourceOfObservation.href,0..1,source of observation,,,
deployments[*].exposure,0..1,False,properties.wmdr:exposure.href,0..1,exposure class,,,
deployments[*].representativeness,0..1,False,properties.wmdr:representativeness.href,0..1,representativeness,,,
deployments[*].localReferenceSurface,0..1,False,properties.wmdr:localReferenceSurface.href,0..1,local reference surface,,,
deployments[*].heightAboveLocalReferenceSurface.#text,0..1,False,properties.wmdr:heightAboveLocalReferenceSurface.value,0..1,height above local reference surface (value),,,
deployments[*].heightAboveLocalReferenceSurface.@uom,0..1,False,properties.wmdr:heightAboveLocalReferenceSurface.uom.href,0..1,height above local reference surface (unit),,,
deployments[*].applicationArea[*],0..*,False,properties.wmdr:applicationArea[*].href,0..*,application area(s),,,
deployments[*].instrumentOperatingStatus,0..1,True,properties.wmdr:instrumentOperatingStatus,0..1,instrument operating status (may be time-bounded object),,,
deployments[*].geospatialLocation,0..1,True,properties.wmdr:geospatialLocation,0..1,geospatialLocation with begin/end (for location history),,,
deployments[*].dataGeneration[*].@gml:id,0..*,False,properties.wmdr:dataGeneration[*].id,0..*,dataGeneration identifier(s),,,
deployments[*].dataGeneration[*].beginPosition,0..*,True,properties.wmdr:dataGeneration[*].time.interval[0],0..*,dataGeneration begin,,,
deployments[*].dataGeneration[*].endPosition,0..*,True,properties.wmdr:dataGeneration[*].time.interval[1],0..*,dataGeneration end,,,
deployments[*].dataGeneration[*].reporting.temporalReportingInterval,0..*,False,properties.wmdr:dataGeneration[*].reporting.temporalReportingInterval,0..*,reporting interval (ISO 8601 duration),,,
deployments[*].dataGeneration[*].reporting.uom,0..*,False,properties.wmdr:dataGeneration[*].reporting.uom.href,0..*,unit of measure,,,
deployments[*].dataGeneration[*].reporting.levelOfData,0..*,False,properties.wmdr:dataGeneration[*].reporting.levelOfData.href,0..*,level of data,,,
deployments[*].dataGeneration[*].reporting.dataFormat,0..*,False,properties.wmdr:dataGeneration[*].reporting.dataFormat.href,0..*,data format,,,
deployments[*].dataGeneration[*].reporting.timeStampMeaning,0..*,False,properties.wmdr:dataGeneration[*].reporting.timeStampMeaning.href,0..*,timestamp meaning,,,
deployments[*].dataGeneration[*].reporting.internationalExchange,0..*,False,properties.wmdr:dataGeneration[*].reporting.internationalExchange,0..*,international exchange flag,,,
deployments[*].dataGeneration[*].reporting.officialStatus,0..*,False,properties.wmdr:dataGeneration[*].reporting.officialStatus,0..*,official status flag,,,
deployments[*].dataGeneration[*].reporting.numberOfObservationsInReportingInterval,0..*,False,properties.wmdr:dataGeneration[*].reporting.numberOfObservationsInReportingInterval,0..*,number of observations per interval,,,
deployments[*].dataGeneration[*].reporting.referenceDatum,0..*,True,properties.wmdr:dataGeneration[*].reporting.referenceDatum,0..*,reference datum object (VerticalDatum),,,
deployments[*].dataGeneration[*].coverage,0..*,True,properties.wmdr:dataGeneration[*].coverage,0..*,coverage schedule (months/weekdays/hours/minutes),,,
